组名,常规赛基础完成时间,常规赛任务加罚时间,常规赛重试加罚时间,常规赛完成时间,开放赛基础完成时间,开放赛任务加罚时间,开放赛重试加罚时间,开放赛完成时间,总完成时间
实干一排一班,0,0,0,0,0,0,0,0,0
实干一排二班,0,0,0,0,0,0,0,0,0
实干一排三班,0,0,0,0,0,0,0,0,0
实干二排一班,0,0,0,0,0,0,0,0,0
实干二排二班,0,0,0,0,0,0,0,0,0
实干二排三班,0,0,0,0,0,0,0,0,0
报国一排一班,0,0,0,0,0,0,0,0,0
报国一排二班,0,0,0,0,0,0,0,0,0
报国一排三班,0,0,0,0,0,0,0,0,0
报国二排一班,0,0,0,0,0,0,0,0,0
报国二排二班,0,0,0,0,0,0,0,0,0
报国二排三班,0,0,0,0,0,0,0,0,0
创新一排一班,0,0,0,0,0,0,0,0,0
创新一排二班,0,0,0,0,0,0,0,0,0
创新一排三班,0,0,0,0,0,0,0,0,0
卓越一排一班,0,0,0,0,0,0,0,0,0
卓越一排二班,0,0,0,0,0,0,0,0,0
